,zip,Population,income,edu_high,Emp,Race_w,Race_h,Race_b,Race_a,Race_m,Race_o,Households
61,89147,"52,646","$52,877.000000",11.7k,26.3k,22.0k,10.6k,"6,622",10.0k,"2,477",954,"18,889"
62,89148,"47,938","$62,860.000000",13.1k,25.2k,20.2k,"7,950","4,021",11.6k,"3,314",922,"16,174"
63,89149,"35,120","$64,509.000000","9,592",17.0k,22.4k,"4,449","3,629","2,323","1,790",523,"13,091"
64,89156,"29,132","$44,398.000000","2,893",12.2k,"9,107",13.4k,"3,729","1,426",983,449,"9,055"
65,89161,52,0.000%,0,52,38,14,0,0,0,0,44
66,89166,"17,783","$75,714.000000","4,421","7,364","9,851","3,061","2,179","1,418",927,347,"5,094"
67,89169,"22,421","$30,507.000000","3,016",10.7k,"6,347",10.4k,"2,971","1,848",731,126,"8,990"
68,89178,"35,241","$76,122.000000",10.5k,19.3k,15.8k,"5,355","2,365","8,724","2,466",570,"11,679"
69,89179,"5,178","$79,718.000000","1,670","2,686","2,355",922,258,"1,399",228,16,"1,694"
70,89183,"38,974","$63,196.000000","9,278",20.4k,18.4k,"7,781","3,745","6,034","2,492",546,"13,897"
